## 建物基本資料
社區名稱,地址,備註
（無已知社區名稱）,新北市土城區中華路二段249號,該地址位於商業街區（鄰近燦坤237-239號、古都餐廳257號），未找到對應之命名住宅社區

## 周邊社區實價登錄參考資料
社區名稱,地址,屋齡,總樓層,坪數區間,近一年均價（萬/坪）,成交筆數,資料來源
皇家宮廷,新北市土城區中華路二段172號,約30年,10層,20~50坪,31.7 萬/坪,24筆,591實價登錄 / 5168比價王
向陽華城,新北市土城區中華路二段（約181-210號段），約28年,10層,30.46~52.64坪,33 萬/坪,不詳,永慶房屋
中華新城乙基地,新北市土城區中華路二段（約93號附近）,約27年,16層,36.61~55.61坪,30.7 萬/坪,30筆,5168比價王

## 行情摘要
指標,數值
土城區中華路二段整體近一年均價,約30~34 萬/坪
249號地址說明,介於燦坤土城中華店（237-239號）與古都活海鮮餐廳（257號）之間；以商業及混合使用為主，主要房仲平台未見命名住宅社區記錄

## 資料來源
來源名稱,說明
591實價登錄（土城社區）,https://market.591.com.tw/list?regionId=3&sectionId=39
5168比價王（中華新城乙基地）,https://community.houseprice.tw/building/23521/price/
永慶房屋（向陽華城）,https://community.yungching.com.tw/building/27586
永慶房屋（皇家宮廷）,https://community.yungching.com.tw/building/27331
內政部不動產交易實價查詢服務網,https://lvr.land.moi.gov.tw/
