## 建物基本資料
社區名稱,地址,備註
（綠島無命名社區），臺東縣綠島鄉南寮村138號,綠島為偏遠離島，房屋交易量極少，無命名社區；南寮村為綠島主要聚落，鄰近南寮港（主要渡輪碼頭）

## 市場特性說明
項目,說明
市場規模,綠島全鄉每年成交筆數極少（全鄉建物交易幾乎無公開紀錄）；主要交易型態為素地/農地
主要用途,南寮村為觀光業聚集區，多為民宿、餐飲、雜貨店等商業用途
南寮村位置,綠島最主要聚落，鄰近南寮港（渡輪碼頭），生活機能最齊全

## 周邊土地實價登錄參考（南寮段）
地號,交易類型,成交日期,坪數,總價（萬）,單價（萬/坪）,資料來源
下南寮段924,素地,2024/09,46.45,220,4.7,591土地實價登錄
下南寮段1230,素地,不明,52.15,182.5,3.5,591土地實價登錄
上南寮段1203,土地,2022/08,不明,240,不明,591土地實價登錄
上南寮段29,土地,2022/07,不明,325,不明,591土地實價登錄
下南寮段820,農地,不明,61.46,43,0.7,591土地實價登錄

## 行情摘要
指標,數值
綠島南寮段素地均價（近年），約3.5~4.7 萬/坪
綠島農地均價（近年）,約0.7~1.0 萬/坪
建物交易紀錄,無公開可查詢之建物成交資料（市場規模過小）
備註,南寮村138號若為含建物之不動產，因稀缺性與觀光需求，實際成交價須由當地業者或地主直接報價

## 資料來源
來源名稱,網址
591土地實價登錄（綠島鄉）,https://land.591.com.tw/price?region=22&section=342&land_shape=5
樂屋網（綠島鄉南寮）,https://www.rakuya.com.tw/realprice/result?zipcode=951&search=route&keyword=%E5%8D%97%E5%AF%AE
永慶房屋實價登錄（綠島鄉）,https://evertrust.yungching.com.tw/regionall/%E5%8F%B0%E6%9D%B1%E7%B8%A3/%E7%B6%A0%E5%B3%B6%E9%84%89/
內政部不動產交易實價查詢服務網,https://lvr.land.moi.gov.tw/
